id,uploader,modifier,source_name,regulator_symbol,regulator_locus_tag,condition,data_usable,preferred_replicate,batch,lab,assay,source_orig_id,upload_date,modified_date,file,single_binding,composite_binding,promoter,background,fileformat
235,chasem,chasem,harbison_chip,LEU3,YLR451W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:54:52.642350-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/235.csv.gz,235,NA,NA,NA,1
239,chasem,chasem,harbison_chip,YAP1,YML007W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:54:55.769512-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/239.csv.gz,239,NA,NA,NA,1
240,chasem,chasem,harbison_chip,YOX1,YML027W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:54:56.400525-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/240.csv.gz,240,NA,NA,NA,1
241,chasem,chasem,harbison_chip,GAL80,YML051W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:54:57.029787-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/241.csv.gz,241,NA,NA,NA,1
242,chasem,chasem,harbison_chip,WAR1,YML076C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:54:57.787033-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/242.csv.gz,242,NA,NA,NA,1
243,chasem,chasem,harbison_chip,TDA9,YML081W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:54:58.446272-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/243.csv.gz,243,NA,NA,NA,1
245,chasem,chasem,harbison_chip,ARG81,YML099C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:54:59.922168-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/245.csv.gz,245,NA,NA,NA,1
246,chasem,chasem,harbison_chip,DAT1,YML113W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:00.585736-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/246.csv.gz,246,NA,NA,NA,1
248,chasem,chasem,harbison_chip,SOK2,YMR016C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:02.536318-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/248.csv.gz,248,NA,NA,NA,1
249,chasem,chasem,harbison_chip,STB4,YMR019W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:03.147063-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/249.csv.gz,249,NA,NA,NA,1
251,chasem,chasem,harbison_chip,MAC1,YMR021C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:04.588016-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/251.csv.gz,251,NA,NA,NA,1
257,chasem,chasem,harbison_chip,MSN2,YMR037C,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:09.239700-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/257.csv.gz,257,NA,NA,NA,1
259,chasem,chasem,harbison_chip,ARG80,YMR042W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:10.546137-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/259.csv.gz,259,NA,NA,NA,1
261,chasem,chasem,harbison_chip,MCM1,YMR043W,YPD,unreviewed,TRUE,none,harbison,chip,none,2024-07-01,2024-07-01T13:55:12.044670-05:00,https://yeastregulatorydb-htcf-data.s3.amazonaws.com/media/promotersetsig/261.csv.gz,261,NA,NA,NA,1
